ITEM_ID,ITEM_NAME,BRAND,L2_CATEGORY,L1_CATEGORY,MRP,SELLING_PRICE,DISCOUNT_PCT
UMI0Q19NYD,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
RFVXTA9GSC,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
S97J49XN1K,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
JW21W2RA3G,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
GIVRKRDDRF,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
Y5DUO3ODHD,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
ZZYF48HILP,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
JG2I8MDDWH,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2799.0,2407.0,14.01
UOY469D2Q0,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2799.0,2407.0,14.01
VTI25AVQWS,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2799.0,2407.0,14.01
J37DLH8WR6,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2799.0,2407.0,14.01
ZSYLWV4A3B,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2799.0,2407.0,14.01
7VOBWVYIKN,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2799.0,2407.0,14.01
LDBG1ANLA0,gillette fusion proglide blades for men with styling back blade - 8 count for perfect shave and perfect beard shape,gillette,beauty and grooming,beauty and grooming,2399.0,2399.0,0.0
T1O2AA92WO,gillette fusion proglide blades for men with styling back blade - 8 count for perfect shave and perfect beard shape,gillette,beauty and grooming,beauty and grooming,2399.0,2399.0,0.0
W7Z9UU1X8J,gillette fusion proglide blades for men with styling back blade - 8 count for perfect shave and perfect beard shape,gillette,beauty and grooming,beauty and grooming,2399.0,2399.0,0.0
4G0L2STCO8,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2304.0,18.73
6GT5DG7L1N,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2296.67,18.99
12LOO10LU0,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2270.0,19.93
JGAMVCW8P4,"oral-b kids mickey gentle soft toothbrush, age 2+, 3 pack (packaging might vary)",oral-b,hygiene and wellness,hygiene and wellness,2300.0,2231.0,3.0
8DOPPY75MP,guess bella vita eau de parfum,guess,bath body and hair,bath body and hair,2900.0,2175.0,25.0
U7GZVRJ3OG,the body shop vitamin c glow boosting moisturizer,the body shop,bath body and hair,bath body and hair,2495.0,2121.0,14.99
SYNY6491LN,the body shop vitamin c glow boosting moisturizer,the body shop,bath body and hair,bath body and hair,2495.0,2121.0,14.99
H70PMRCV62,the body shop vitamin c glow boosting moisturizer,the body shop,bath body and hair,bath body and hair,2495.0,2121.0,14.99
1AHZY030X3,the body shop vitamin c glow boosting moisturizer,the body shop,bath body and hair,bath body and hair,2495.0,2121.0,14.99
1H4H650KZB,the body shop vitamin c glow boosting moisturizer,the body shop,bath body and hair,bath body and hair,2495.0,2121.0,14.99
PTHRJCI0Q9,the body shop vitamin c glow boosting moisturizer,the body shop,bath body and hair,bath body and hair,2495.0,2121.0,14.99
JB126QMKG4,the body shop vitamin c glow boosting moisturizer,the body shop,bath body and hair,bath body and hair,2495.0,2121.0,14.99
3OZQ15K6GY,the body shop vitamin c glow boosting moisturizer,the body shop,bath body and hair,bath body and hair,2495.0,2121.0,14.99
P5R0KYMUKX,the body shop vitamin c glow boosting moisturizer,the body shop,bath body and hair,bath body and hair,2495.0,2121.0,14.99
GK5RCXWOLR,the body shop vitamin c glow boosting moisturizer,the body shop,bath body and hair,bath body and hair,2495.0,2121.0,14.99
Z2BPLXOCD1,the body shop vitamin c glow boosting moisturizer,the body shop,bath body and hair,bath body and hair,2495.0,2121.0,14.99
NV4YW79LK4,azah groove full body electric stress relief massager,azah,hygiene and wellness,hygiene and wellness,2599.0,2114.0,18.66
PA7HWC51FZ,azah groove full body electric stress relief massager,azah,hygiene and wellness,hygiene and wellness,2599.0,2104.6,19.02
6S5MC5OJWV,azah groove full body electric stress relief massager,azah,hygiene and wellness,hygiene and wellness,2599.0,2098.75,19.25
5OROHQS4KC,azah groove full body electric stress relief massager,azah,hygiene and wellness,hygiene and wellness,2599.0,2098.75,19.25
3ZHDYLHRT8,skore buzz ring massager | compatible | rechargeable | remote control,skore,hygiene and wellness,hygiene and wellness,2500.0,2050.0,18.0
BBT4BWNPOG,skore buzz ring massager | compatible | rechargeable | remote control,skore,hygiene and wellness,hygiene and wellness,2500.0,2050.0,18.0
VLMC1NNVOM,skore buzz ring massager | compatible | rechargeable | remote control,skore,hygiene and wellness,hygiene and wellness,2500.0,2050.0,18.0
