ITEM_ID,ITEM_NAME,AVG_RATING,REVIEW_COUNT,L2_CATEGORY
989492,Nivea Frangipani & Oil Shower Gel,4.32,409,Shower Gel
709183,Tena Lady Pants High Waist Underwear Triple Protection Medium - (Set Of - 9),4.48,409,Basic Pharma
709183,Tena Lady Pants High Waist Underwear Triple Protection Medium - (Set Of - 9),4.48,409,Basic Pharma
989492,Nivea Frangipani & Oil Shower Gel,4.32,409,Shower Gel
249984,Wet N Wild Megalast Liquid Catsuit Matte Lipstick - Give Me Mocha 6 Gm,4.14,401,Lip Makeup
249984,Wet N Wild Megalast Liquid Catsuit Matte Lipstick - Give Me Mocha 6 Gm,4.14,401,Lip Makeup
94485,Hansaplast Active Lace Pull Ls Support Osfm,4.6,400,Wound Care And Pain Relief
94485,Hansaplast Active Lace Pull Ls Support Osfm,4.6,400,Wound Care And Pain Relief
427946,"Mymuse Breeze Suction Massager: Mimics Oral Play, 10 Speeds, Waterproof,Green",4.37,399,Sexual Wellness
427946,"Mymuse Breeze Suction Massager: Mimics Oral Play, 10 Speeds, Waterproof,Green",4.37,399,Sexual Wellness
438330,Trichup Keratin Shampoo - 200,4.1,385,Shampoo And Conditioner
438330,Trichup Keratin Shampoo - 200,4.1,385,Shampoo And Conditioner
502004,Insight Cosmetics Beauty Blender Sponge Applicator - Orange,4.5,382,Makeup Brushes And Tools
502004,Insight Cosmetics Beauty Blender Sponge Applicator - Orange,4.5,382,Makeup Brushes And Tools
545254,"Mannlich Underarm Roll On, 2% Kojic & Lactic Acid, 4% Aha & Bha, Fades Dark Spots, Pigmentation & Bad Odor",4.55,382,"Perfumes, Deos And Talc"
545254,"Mannlich Underarm Roll On, 2% Kojic & Lactic Acid, 4% Aha & Bha, Fades Dark Spots, Pigmentation & Bad Odor",4.55,382,"Perfumes, Deos And Talc"
625938,Sugar Cosmetics Matte Attack Transferproof Lipstick - 03 The Grandberries,3.76,379,Lip Makeup
625938,Sugar Cosmetics Matte Attack Transferproof Lipstick - 03 The Grandberries,3.76,379,Lip Makeup
929154,Glam21 Prismatic 5d Eyeliner - Cosmic,4.19,372,Eye Makeup
929154,Glam21 Prismatic 5d Eyeliner - Cosmic,4.19,372,Eye Makeup
424218,United Colors Of Benetton Colors Woman Rose Intenso Eau De Parfum,3.92,369,"Perfumes, Deos And Talc"
424218,United Colors Of Benetton Colors Woman Rose Intenso Eau De Parfum,3.92,369,"Perfumes, Deos And Talc"
520388,"Mamaearth Onion Conditioner , Mamaearth Onion Hair Fall Shampoo & Mama Earth Onion Oil For Hair Growth & Hair Fall Control",4.4,363,Shampoo And Conditioner
520388,"Mamaearth Onion Conditioner , Mamaearth Onion Hair Fall Shampoo & Mama Earth Onion Oil For Hair Growth & Hair Fall Control",4.4,363,Shampoo And Conditioner
480208,Episoft Cleanser For Dry & Sensitive Skin,4.59,355,Face Wash And Scrub
480208,Episoft Cleanser For Dry & Sensitive Skin,4.59,355,Face Wash And Scrub
865417,Rebound Lime Detox Shot,3.93,345,Basic Pharma
865417,Rebound Lime Detox Shot,3.93,345,Basic Pharma
696285,Shryoan Smil-Y Glossy Nail Enamel With Enhanced Colors | Long Lasting | Shade - 01,4.54,340,Nail Paints And Accessories
696285,Shryoan Smil-Y Glossy Nail Enamel With Enhanced Colors | Long Lasting | Shade - 01,4.54,340,Nail Paints And Accessories
481304,Kimirica Love Story Cleanse & Nourish Duo,3.85,333,Gift Packs
481304,Kimirica Love Story Cleanse & Nourish Duo,3.85,333,Gift Packs
92533,Olay Total Effects Day Cream With Vitamin B5,3.08,331,Face Cream
92533,Olay Total Effects Day Cream With Vitamin B5,3.08,331,Face Cream
74644,Tac - The Ayurveda Co. Kumkumadi Face Scrub With 24k Gold For Glowing Skin.,4.26,330,Face Wash And Scrub
74644,Tac - The Ayurveda Co. Kumkumadi Face Scrub With 24k Gold For Glowing Skin.,4.26,330,Face Wash And Scrub
771324,Carlton London Coral Blush Lipstick Set Of 4,4.25,319,Face And Lip Care
771324,Carlton London Coral Blush Lipstick Set Of 4,4.25,319,Face And Lip Care
